num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*;
         1;  0.0; 1;     5;  0.3717;  100.0;  100.0;  2.25e-08;
         1;  0.0; 3;    12;  0.1044;  100.0;  100.0;  1.61e-07;
         1;  0.0; 7;  1000;  0.0900;  100.0;  100.0;  3.08e-01;
         1;  1.0; 1;    86;  0.5385;  100.0;  100.0;  3.65e+00;
         1;  1.0; 3;    21;  0.2061;  100.0;  100.0;  3.65e+00;
         1;  1.0; 7;  1000;  0.0716;  100.0;  100.0;  1.09e+01;
         1; 10.0; 1;    45;  0.3318;  100.0;  100.0;  1.45e+01;
         1; 10.0; 3;    37;  0.3274;  100.0;  100.0;  1.45e+01;
         1; 10.0; 7;  1000;  0.0436;  100.0;  100.0;  3.75e+01;
         2;  0.0; 1;    90;  0.4071;  100.0;   98.8;  6.57e-07;
         2;  0.0; 3;   128;  1.1655;  100.0;   96.8;  5.54e-08;
         2;  0.0; 7;  1000;  0.0426;  100.0;   98.4;  1.36e+00;
         2;  1.0; 1;   259;  1.1975;  100.0;   98.4;  7.91e+00;
         2;  1.0; 3;    23;  0.1987;  100.0;   98.4;  7.91e+00;
         2;  1.0; 7;  1000;  0.0437;   94.4;   91.6;  1.97e+01;
         2; 10.0; 1;    78;  0.4730;   95.6;   94.8;  2.31e+01;
         2; 10.0; 3;    39;  0.3289;   95.6;   94.8;  2.31e+01;
         2; 10.0; 7;  1000;  0.0503;   93.6;   87.6;  4.54e+01;
         3;  0.0; 1;  1000;  4.3818;  100.0;   95.6;  9.05e-02;
         3;  0.0; 3;    15;  0.0867;  100.0;   92.8;  4.39e-09;
         3;  0.0; 7;  1000;  0.0426;   98.4;   98.0;  5.06e+00;
         3;  1.0; 1;   533;  2.6306;   97.2;   98.4;  1.36e+01;
         3;  1.0; 3;    29;  0.2604;   97.2;   98.4;  1.36e+01;
         3;  1.0; 7;  1000;  0.0474;   97.2;   98.4;  2.90e+01;
         3; 10.0; 1;  1000;  3.9695;   97.2;   98.4;  3.23e+01;
         3; 10.0; 3;    39;  0.3389;   97.2;   98.4;  3.23e+01;
         3; 10.0; 7;  1000;  0.0477;   88.0;   83.6;  5.41e+01;
         4;  0.0; 1;     3;  0.0161;  100.0;  100.0;  1.83e-13;
         4;  0.0; 3;     3;  0.0163;  100.0;  100.0;  1.27e-13;
         4;  0.0; 7;  1000;  0.0422;  100.0;  100.0;  3.33e-01;
         4;  1.0; 1;   114;  0.5197;  100.0;  100.0;  3.58e+00;
         4;  1.0; 3;    19;  0.1511;  100.0;  100.0;  3.58e+00;
         4;  1.0; 7;  1000;  0.0440;  100.0;  100.0;  1.06e+01;
         4; 10.0; 1;    48;  0.2562;  100.0;  100.0;  1.42e+01;
         4; 10.0; 3;    42;  0.2822;  100.0;  100.0;  1.42e+01;
